facility_name,barcode,name,start_datetime,end_datetime,num_people,num_waitlist,has_reg_early_started,has_reg_ended,has_reg_priority_started,has_reg_return_started,has_reg_started
Badminton Court 5,390151,Badminton Court 5 - Sunday  Feb 09 - 8:00 PM,2025-02-09 17:00:00,2025-02-09 18:00:00,1,0,True,False,True,True,True
Badminton Court 6,390152,Badminton Court 6 - Sunday  Feb 09 - 8:00 PM,2025-02-09 17:00:00,2025-02-09 18:00:00,1,0,True,False,True,True,True
Badminton Court 1,395149,Badminton Court 1 - Monday  Feb 10 - 7:00 AM,2025-02-10 04:00:00,2025-02-10 05:00:00,0,0,True,False,True,True,True
Badminton Court 2,395150,Badminton Court 2 - Monday  Feb 10 - 7:00 AM,2025-02-10 04:00:00,2025-02-10 05:00:00,0,0,True,False,True,True,True
Badminton Court 3,395151,Badminton Court 3 - Monday  Feb 10 - 7:00 AM,2025-02-10 04:00:00,2025-02-10 05:00:00,1,0,True,False,True,True,True
Badminton Court 4,395152,Badminton Court 4 - Monday  Feb 10 - 7:00 AM,2025-02-10 04:00:00,2025-02-10 05:00:00,0,0,True,False,True,True,True
Badminton Court 5,395153,Badminton Court 5 - Monday  Feb 10 - 7:00 AM,2025-02-10 04:00:00,2025-02-10 05:00:00,0,0,True,False,True,True,True
Badminton Court 6,395154,Badminton Court 6 - Monday  Feb 10 - 7:00 AM,2025-02-10 04:00:00,2025-02-10 05:00:00,0,0,True,False,True,True,True
Badminton Court 1,395155,Badminton Court 1 - Monday  Feb 10 - 8:00 AM,2025-02-10 05:00:00,2025-02-10 06:00:00,0,0,True,False,True,True,True
Badminton Court 2,395156,Badminton Court 2 - Monday  Feb 10 - 8:00 AM,2025-02-10 05:00:00,2025-02-10 06:00:00,0,0,True,False,True,True,True
Badminton Court 3,395157,Badminton Court 3 - Monday  Feb 10 - 8:00 AM,2025-02-10 05:00:00,2025-02-10 06:00:00,0,0,True,False,True,True,True
Badminton Court 4,395158,Badminton Court 4 - Monday  Feb 10 - 8:00 AM,2025-02-10 05:00:00,2025-02-10 06:00:00,0,0,True,False,True,True,True
Badminton Court 5,395159,Badminton Court 5 - Monday  Feb 10 - 8:00 AM,2025-02-10 05:00:00,2025-02-10 06:00:00,0,0,True,False,True,True,True
Badminton Court 6,395160,Badminton Court 6 - Monday  Feb 10 - 8:00 AM,2025-02-10 05:00:00,2025-02-10 06:00:00,0,0,True,False,True,True,True
Badminton Court 4,395182,Badminton Court 4 - Monday  Feb 10 - 12:00 PM,2025-02-10 09:00:00,2025-02-10 10:00:00,1,0,True,False,True,True,True
Badminton Court 5,395183,Badminton Court 5 - Monday  Feb 10 - 12:00 PM,2025-02-10 09:00:00,2025-02-10 10:00:00,1,0,True,False,True,True,True
Badminton Court 6,395184,Badminton Court 6 - Monday  Feb 10 - 12:00 PM,2025-02-10 09:00:00,2025-02-10 10:00:00,1,0,True,False,True,True,True
Badminton Court 4,395188,Badminton Court 4 - Monday  Feb 10 - 1:00 PM,2025-02-10 10:00:00,2025-02-10 11:00:00,1,0,True,False,True,True,True
Badminton Court 5,395189,Badminton Court 5 - Monday  Feb 10 - 1:00 PM,2025-02-10 10:00:00,2025-02-10 11:00:00,1,0,True,False,True,True,True
Badminton Court 6,395190,Badminton Court 6 - Monday  Feb 10 - 1:00 PM,2025-02-10 10:00:00,2025-02-10 11:00:00,1,0,True,False,True,True,True
Badminton Court 4,395194,Badminton Court 4 - Monday  Feb 10 - 2:00 PM,2025-02-10 11:00:00,2025-02-10 12:00:00,0,0,True,False,True,True,True
Badminton Court 5,395195,Badminton Court 5 - Monday  Feb 10 - 2:00 PM,2025-02-10 11:00:00,2025-02-10 12:00:00,0,0,True,False,True,True,True
Badminton Court 6,395196,Badminton Court 6 - Monday  Feb 10 - 2:00 PM,2025-02-10 11:00:00,2025-02-10 12:00:00,1,0,True,False,True,True,True
Badminton Court 4,395200,Badminton Court 4 - Monday  Feb 10 - 3:00 PM,2025-02-10 12:00:00,2025-02-10 13:00:00,0,0,True,False,True,True,True
